,Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Return
0,2023-11-13,256.69000244140625,258.9800109863281,255.63999938964844,257.1300048828125,256.50201416015625,3423343,002371.SZ,44.18980708207926
1,2023-11-13,244.0,244.58999633789065,238.3300018310547,240.6000061035156,235.37814331054688,3226766,600809.SS,37.00948009532525
2,2023-11-13,161.0,161.0,156.60000610351562,157.3000030517578,151.4586944580078,5110451,000661.SZ,31.233606426826704
3,2023-11-13,170.6999969482422,173.3000030517578,169.5,171.72000122070312,171.32925415039062,5242698,688012.SS,21.92656962191969
4,2023-11-13,144.8800048828125,144.99000549316406,138.60000610351562,139.89999389648438,139.54080200195312,7377963,300782.SZ,18.56643245181594
5,2023-11-13,50.66999816894531,51.15999984741211,49.5099983215332,49.79999923706055,48.9228515625,1162921,300979.SZ,18.080460244705165
6,2023-11-13,95.18000030517578,97.0999984741211,94.91999816894533,95.12000274658205,92.90322875976562,12641055,601888.SS,17.1526730727861
7,2023-11-13,139.63076782226562,141.15383911132812,138.55384826660156,139.46153259277344,135.8917236328125,455403,605499.SS,16.743197229491226
8,2023-11-13,121.8000030517578,122.37999725341795,119.9000015258789,120.56999969482422,120.17389678955078,1562669,688271.SS,16.65300161663856
9,2023-11-13,119.27999877929688,119.87999725341795,118.12000274658205,119.01000213623048,112.62664031982422,2841449,002304.SZ,16.631111427589698
10,2023-11-14,134.47999572753906,155.39999389648438,132.3000030517578,153.02000427246094,153.02000427246094,20915113,688256.SS,0.1318884644504872
11,2023-11-14,39.15999984741211,43.130001068115234,38.84999847412109,42.40999984741211,42.131595611572266,105158074,601995.SS,0.0816118550792486
12,2023-11-14,118.5500030517578,123.87000274658205,118.36000061035156,123.81999969482422,122.93878936767578,7442738,002920.SZ,0.058471500612119
13,2023-11-14,65.4000015258789,69.0,64.91000366210938,68.54000091552734,68.43741607666016,33887291,688041.SS,0.0480122219631131
14,2023-11-14,13.0,14.300000190734863,12.890000343322754,13.600000381469728,13.300201416015623,254927823,601881.SS,0.0445468435725135
15,2023-11-14,84.30000305175781,88.25,83.86000061035156,87.68000030517578,86.90814971923828,10852603,300496.SZ,0.0413302076373323
16,2023-11-14,18.049999237060547,19.40999984741211,17.950000762939453,18.850000381469727,18.74018859863281,60817891,601059.SS,0.0391400780435775
17,2023-11-14,67.7699966430664,70.4800033569336,67.5999984741211,70.45999908447266,68.58443450927734,11948814,000733.SZ,0.0369389587779136
18,2023-11-14,15.5,16.200000762939453,15.399999618530272,16.100000381469727,15.721760749816896,235348065,000625.SZ,0.0367031975723983
19,2023-11-14,10.260000228881836,10.59000015258789,10.109999656677246,10.449999809265137,10.175580024719238,125659613,688223.SS,0.0295566701487526
20,2023-11-15,130.0,136.1999969482422,130.0,136.1999969482422,135.23068237304688,12550476,002920.SZ,0.0999838255849669
21,2023-11-15,19.15999984741211,20.739999771118164,19.1200008392334,19.93000030517578,19.81389617919922,106354862,601059.SS,0.0572944245013244
22,2023-11-15,16.18000030517578,17.049999237060547,15.899999618530272,16.979999542236328,16.581085205078125,396328433,000625.SZ,0.0546583316718076
23,2023-11-15,64.99285888671875,66.70714569091797,64.14286041259766,65.71428680419922,64.79732513427734,37418966,300274.SZ,0.0373210479404186
24,2023-11-15,27.86000061035156,29.049999237060547,27.799999237060547,28.6299991607666,28.207521438598636,31269271,002050.SZ,0.0361925454351788
25,2023-11-15,54.709999084472656,56.36000061035156,54.5,55.540000915527344,53.44561767578125,54770713,002466.SZ,0.0358075722097948
26,2023-11-15,44.5,45.70000076293945,44.47999954223633,45.13999938964844,43.846588134765625,55680833,002460.SZ,0.0334248872315061
27,2023-11-15,105.26000213623048,107.9000015258789,104.01000213623048,106.98999786376952,106.98999786376952,14771613,603986.SS,0.0320246913616588
28,2023-11-15,31.239999771118164,32.16999816894531,31.06999969482422,31.93000030517578,31.49092483520508,23188661,601628.SS,0.0319974064004429
29,2023-11-15,14.149999618530272,14.43000030517578,14.109999656677246,14.43000030517578,13.77952003479004,56457288,000338.SZ,0.0292439253941014
30,2023-11-16,9.399999618530272,9.850000381469728,9.300000190734863,9.529999732971191,9.44933795928955,446916093,601901.SS,0.02583420582386
31,2023-11-16,20.059999465942383,20.75,19.940000534057617,20.57999992370605,19.07231712341309,21869201,601699.SS,0.0183078107864769
32,2023-11-16,38.29999923706055,39.5099983215332,38.29999923706055,39.18000030517578,38.35840225219727,3980800,603899.SS,0.0168700115876507
33,2023-11-16,9.170000076293944,9.65999984741211,9.15999984741211,9.359999656677246,9.18602180480957,47004051,000800.SZ,0.0151843151403241
34,2023-11-16,42.27999877929688,44.09999847412109,42.0,43.34000015258789,43.05549240112305,56646184,601995.SS,0.0147506692020575
35,2023-11-16,15.038460731506348,15.30769157409668,14.899999618530272,15.269229888916016,13.809165000915527,34952015,600188.SS,0.0122386377250571
36,2023-11-16,36.58000183105469,36.93000030517578,36.40999984741211,36.79999923706055,35.848716735839844,8843136,600660.SS,0.009879270689316
37,2023-11-16,12.239999771118164,12.5,12.229999542236328,12.43000030517578,12.068001747131348,15599070,600886.SS,0.0089286211912631
38,2023-11-16,7.889999866485596,7.960000038146973,7.860000133514404,7.920000076293945,7.920000076293945,45719776,601111.SS,0.0089172194282534
39,2023-11-16,3.619999885559082,3.660000085830689,3.5999999046325684,3.650000095367432,3.459755182266236,311545298,601288.SS,0.0082873510377794
40,2023-11-17,100.08999633789062,107.0,100.08999633789062,105.58999633789062,105.19156646728516,31693254,300308.SZ,0.0554777626106743
41,2023-11-17,9.520000457763672,10.199999809265137,9.5,10.050000190734863,9.964937210083008,506974098,601901.SS,0.054564582616368
42,2023-11-17,34.220001220703125,36.380001068115234,34.220001220703125,35.70000076293945,35.576602935791016,140859549,000977.SZ,0.0405129505687078
43,2023-11-17,28.11000061035156,29.399999618530277,28.040000915527344,29.309999465942383,28.877487182617188,26499977,002050.SZ,0.0400993310336854
44,2023-11-17,61.88999938964844,64.3499984741211,61.88999938964844,64.3499984741211,62.45246887207031,13626096,300122.SZ,0.0339009758797017
45,2023-11-17,27.399999618530277,29.309999465942383,27.350000381469727,28.3700008392334,28.3700008392334,18100489,002180.SZ,0.0301379773461842
46,2023-11-17,33.82307434082031,34.9615364074707,33.69230651855469,34.88461685180664,33.77200698852539,11095800,000999.SZ,0.0278785634866789
47,2023-11-17,48.66206741333008,50.26896667480469,48.475860595703125,50.26896667480469,49.56647491455078,9636955,601689.SS,0.0269089938819711
48,2023-11-17,7.920000076293945,8.180000305175781,7.889999866485596,8.130000114440918,8.130000114440918,93660716,601111.SS,0.0265151560762659
49,2023-11-17,85.9000015258789,89.37000274658203,85.6500015258789,88.30999755859375,87.53260803222656,7183020,300496.SZ,0.0262637353478836
50,2023-11-20,153.6999969482422,169.8000030517578,152.0,165.42999267578125,165.42999267578125,18970908,688256.SS,0.0763174753444471
51,2023-11-20,28.40999984741211,31.01000022888184,28.18000030517578,30.239999771118164,30.239999771118164,25846993,002180.SZ,0.0659146590259776
52,2023-11-20,35.25,38.84000015258789,34.810001373291016,37.81999969482422,37.68927383422852,186230792,000977.SZ,0.0593837223131255
53,2023-11-20,31.56999969482422,33.209999084472656,31.32999992370605,32.95000076293945,32.093658447265625,14653872,600754.SS,0.0483614522114199
54,2023-11-20,34.88461685180664,36.769229888916016,34.88461685180664,36.5461540222168,35.380550384521484,18523497,000999.SZ,0.0476295089456917
