,Ticker,Company,Segment,Exchange,Weighting (%),yf_ticker
130,SZSE: 300782,Maxscend Microelectronics,Information Technology,Shenzhen,0.225,300782.SZ
131,SSE: 601377,Industrial Securities,Financials,Shanghai,0.225,601377.SS
132,SSE: 601186,China Railway Construction,Industrials,Shanghai,0.224,601186.SS
133,SZSE: 000157,Zoomlion Heavy Industry Science & Technology,Industrials,Shenzhen,0.223,000157.SZ
134,SZSE: 002241,GoerTek,Information Technology,Shenzhen,0.223,002241.SZ
135,SSE: 600926,Bank of Hangzhou,Financials,Shanghai,0.221,600926.SS
136,SSE: 600547,Shandong Gold-Mining,Materials,Shanghai,0.22,600547.SS
137,SSE: 600011,Huaneng Power International,Utilities,Shanghai,0.218,600011.SS
138,SZSE: 000977,Inspur Electronic Information Industry,Information Technology,Shenzhen,0.216,000977.SZ
139,SZSE: 002252,Shanghai RAAS Blood Products,Health Care,Shenzhen,0.215,002252.SZ
140,SSE: 600674,Sichuan Chuantou Energy,Utilities,Shanghai,0.214,600674.SS
141,SSE: 603799,ZHEJIANG HUAYOU COBALT,Materials,Shanghai,0.213,603799.SS
142,SSE: 600584,JCET,Information Technology,Shanghai,0.21,600584.SS
143,SSE: 600570,Hundsun Technologies,Information Technology,Shanghai,0.208,600570.SS
144,SZSE: 002236,Zhejiang Dahua Technology,Information Technology,Shenzhen,0.205,002236.SZ
145,SZSE: 002179,AVIC Jonhon Optronic Technology,Information Technology,Shenzhen,0.204,002179.SZ
146,SZSE: 000596,Anhui Gujing Distillery,Consumer Staples,Shenzhen,0.201,000596.SZ
147,SZSE: 002311,Guangdong Haid Group,Consumer Staples,Shenzhen,0.201,002311.SZ
148,SSE: 600188,Yanzhou Coal Mining,Energy,Shanghai,0.2,600188.SS
149,SZSE: 300896,IMEIK TECHNOLOGY DEVELOPMENT,Health Care,Shenzhen,0.198,300896.SZ
150,SSE: 688256,Cambricon Technologies,Information Technology,Shanghai,0.197,688256.SS
151,SSE: 600010,Inner Mongolia Baotou Steel Union,Materials,Shanghai,0.196,600010.SS
152,SZSE: 002271,Beijing Oriental Yuhong Waterproof Technology,Materials,Shenzhen,0.195,002271.SZ
153,SSE: 601111,Air China,Industrials,Shanghai,0.195,601111.SS
154,SZSE: 001979,China Merchants Shekou Industrial Zone Holdings,Real Estate,Shenzhen,0.192,001979.SZ
155,SZSE: 300408,Chaozhou Three-Circle,Information Technology,Shenzhen,0.191,300408.SZ
156,SSE: 600845,Baosight Software,Information Technology,Shanghai,0.189,600845.SS
157,SSE: 603369,Jiangsu King's Luck Brewery  Joint-Stock,Consumer Staples,Shanghai,0.189,603369.SS
158,SSE: 600989,Ningxia Baofeng Energy Group,Materials,Shanghai,0.188,600989.SS
159,SSE: 600745,Wingtech,Information Technology,Shanghai,0.186,600745.SS
160,SSE: 601788,Everbright Securities,Financials,Shanghai,0.185,601788.SS
161,SSE: 600115,China Eastern Airlines Corp,Industrials,Shanghai,0.183,600115.SS
162,SSE: 600029,China Southern Airlines,Industrials,Shanghai,0.179,600029.SS
163,SZSE: 002601,LB Group,Materials,Shenzhen,0.176,002601.SZ
164,SSE: 601360,360 Security Technology,Information Technology,Shanghai,0.176,601360.SS
165,SSE: 601901,Founder Securities,Financials,Shanghai,0.176,601901.SS
166,SZSE: 002493,Rongsheng Petro Chemical,Materials,Shenzhen,0.175,002493.SZ
167,SSE: 600196,Fosun Pharmaceutical,Health Care,Shanghai,0.175,600196.SS
168,SZSE: 002459,JA Solar Technology,Information Technology,Shenzhen,0.174,002459.SZ
169,SSE: 601699,Shanxi Lu'an Environmental Energy  Development,Energy,Shanghai,0.173,601699.SS
170,SSE: 601995,China International Capital Corporation,Financials,Shanghai,0.172,601995.SS
171,SSE: 600085,Beijing Tongrentang,Health Care,Shanghai,0.171,600085.SS
